Sr2,5p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
308.72000,-185.93,3.36,0.00,0.00
308.74000,-186.10,3.36,0.00,0.00
308.76000,-186.28,3.37,0.00,0.00
308.78000,-186.45,3.37,0.00,0.00
308.80000,-186.62,3.37,0.00,0.00
308.82000,-186.80,3.37,0.00,0.00
308.84000,-186.97,3.38,0.00,0.00
308.86000,-187.15,3.38,0.00,0.00
308.88000,-187.32,3.38,0.00,0.00
308.90000,-187.49,3.38,0.00,0.00
308.92000,-187.67,3.39,0.00,0.00
308.94000,-187.84,3.39,0.00,0.00
308.96000,-188.02,3.39,0.00,0.00
308.98000,-188.19,3.39,0.00,0.00
309.00000,-188.37,3.40,0.00,0.00
309.02000,-188.55,3.40,0.00,0.00
309.04000,-188.72,3.40,0.00,0.00
309.06000,-188.90,3.40,0.00,0.00
309.08000,-189.08,3.41,0.00,0.00
309.10000,-189.25,3.41,0.00,0.00
309.12000,-189.43,3.41,0.00,0.00
309.14000,-189.61,3.42,0.00,0.00
309.16000,-189.79,3.42,0.00,0.00
309.18000,-189.96,3.42,0.00,0.00
309.20000,-190.14,3.42,0.00,0.00
309.22000,-190.32,3.43,0.00,0.00
309.24000,-190.50,3.43,0.00,0.00
309.26000,-190.68,3.43,0.00,0.00
309.28000,-190.86,3.43,0.00,0.00
309.30000,-191.04,3.44,0.00,0.00
309.32000,-191.22,3.44,0.00,0.00
309.34000,-191.40,3.44,0.00,0.00
309.36000,-191.58,3.44,0.00,0.00
309.38000,-191.76,3.45,0.00,0.00
309.40000,-191.94,3.45,0.00,0.00
309.42000,-192.12,3.45,0.00,0.00
309.44000,-192.30,3.45,0.00,0.00
309.46000,-192.48,3.46,0.00,0.00
309.48000,-192.66,3.46,0.00,0.00
309.50000,-192.85,3.46,0.00,0.00
309.52000,-193.03,3.47,0.00,0.00
309.54000,-193.21,3.47,0.00,0.00
309.56000,-193.39,3.47,0.00,0.00
309.58000,-193.58,3.47,0.00,0.00
309.60000,-193.76,3.48,0.00,0.00
309.62000,-193.94,3.48,0.00,0.00
309.64000,-194.13,3.48,0.00,0.00
309.66000,-194.31,3.48,0.00,0.00
309.68000,-194.50,3.49,0.00,0.00
309.70000,-194.68,3.49,0.00,0.00
309.72000,-194.87,3.49,0.00,0.00
309.74000,-195.05,3.49,0.00,0.00
309.76000,-195.24,3.50,0.00,0.00
309.78000,-195.42,3.50,0.00,0.00
309.80000,-195.61,3.50,0.00,0.00
309.82000,-195.80,3.51,0.00,0.00
309.84000,-195.98,3.51,0.00,0.00
309.86000,-196.17,3.51,0.00,0.00
309.88000,-196.36,3.51,0.00,0.00
309.90000,-196.54,3.52,0.00,0.00
309.92000,-196.73,3.52,0.00,0.00
309.94000,-196.92,3.52,0.00,0.00
309.96000,-197.11,3.52,0.00,0.00
309.98000,-197.29,3.53,0.00,0.00
310.00000,-197.48,3.53,0.00,0.00
310.02000,-197.67,3.53,0.00,0.00
310.04000,-197.86,3.54,0.00,0.00
310.06000,-198.05,3.54,0.00,0.00
310.08000,-198.24,3.54,0.00,0.00
310.10000,-198.43,3.54,0.00,0.00
310.12000,-198.62,3.55,0.00,0.00
310.14000,-198.81,3.55,0.00,0.00
310.16000,-199.00,3.55,0.00,0.00
310.18000,-199.19,3.56,0.00,0.00
310.20000,-199.38,3.56,0.00,0.00
310.22000,-199.58,3.56,0.00,0.00
310.24000,-199.77,3.56,0.00,0.00
310.26000,-199.96,3.57,0.00,0.00
310.28000,-200.15,3.57,0.00,0.00
310.30000,-200.35,3.57,0.00,0.00
310.32000,-200.54,3.57,0.00,0.00
310.34000,-200.73,3.58,0.00,0.00
310.36000,-200.93,3.58,0.00,0.00
310.38000,-201.12,3.58,0.00,0.00
310.40000,-201.31,3.59,0.00,0.00
310.42000,-201.51,3.59,0.00,0.00
310.44000,-201.70,3.59,0.00,0.00
310.46000,-201.90,3.59,0.00,0.00
310.48000,-202.09,3.60,0.00,0.00
310.50000,-202.29,3.60,0.00,0.00
310.52000,-202.48,3.60,0.00,0.00
310.54000,-202.68,3.61,0.00,0.00
310.56000,-202.88,3.61,0.00,0.00
310.58000,-203.07,3.61,0.00,0.00
310.60000,-203.27,3.61,0.00,0.00
310.62000,-203.47,3.62,0.00,0.00
310.64000,-203.67,3.62,0.00,0.00
310.66000,-203.86,3.62,0.00,0.00
310.68000,-204.06,3.63,0.00,0.00
310.70000,-204.26,3.63,0.00,0.00
310.72000,-204.46,3.63,0.00,0.00
310.74000,-204.66,3.63,0.00,0.00
310.76000,-204.86,3.64,0.00,0.00
310.78000,-205.06,3.64,0.00,0.00
310.80000,-205.26,3.64,0.00,0.00
310.82000,-205.46,3.65,0.00,0.00
310.84000,-205.66,3.65,0.00,0.00
310.86000,-205.86,3.65,0.00,0.00
310.88000,-206.06,3.66,0.00,0.00
310.90000,-206.26,3.66,0.00,0.00
310.92000,-206.46,3.66,0.00,0.00
310.94000,-206.67,3.66,0.00,0.00
310.96000,-206.87,3.67,0.00,0.00
310.98000,-207.07,3.67,0.00,0.00
311.00000,-207.27,3.67,0.00,0.00
311.02000,-207.48,3.68,0.00,0.00
311.04000,-207.68,3.68,0.00,0.00
311.06000,-207.88,3.68,0.00,0.00
311.08000,-208.09,3.69,0.00,0.00
311.10000,-208.29,3.69,0.00,0.00
311.12000,-208.50,3.69,0.00,0.00
311.14000,-208.70,3.69,0.00,0.00
311.16000,-208.91,3.70,0.00,0.00
311.18000,-209.11,3.70,0.00,0.00
311.20000,-209.32,3.70,0.00,0.00
311.22000,-209.53,3.71,0.00,0.00
311.24000,-209.73,3.71,0.00,0.00
311.26000,-209.94,3.71,0.00,0.00
311.28000,-210.15,3.72,0.00,0.00
311.30000,-210.35,3.72,0.00,0.00
311.32000,-210.56,3.72,0.00,0.00
311.34000,-210.77,3.72,0.00,0.00
311.36000,-210.98,3.73,0.00,0.00
311.38000,-211.19,3.73,0.00,0.00
311.40000,-211.40,3.73,0.00,0.00
311.42000,-211.61,3.74,0.00,0.00
311.44000,-211.81,3.74,0.00,0.00
311.46000,-212.02,3.74,0.00,0.00
311.48000,-212.24,3.75,0.00,0.00
311.50000,-212.45,3.75,0.00,0.00
311.52000,-212.66,3.75,0.00,0.00
311.54000,-212.87,3.75,0.00,0.00
311.56000,-213.08,3.76,0.00,0.00
311.58000,-213.29,3.76,0.00,0.00
311.60000,-213.50,3.76,0.00,0.00
311.62000,-213.72,3.77,0.00,0.00
311.64000,-213.93,3.77,0.00,0.00
311.66000,-214.14,3.77,0.00,0.00
311.68000,-214.36,3.78,0.00,0.00
311.70000,-214.57,3.78,0.00,0.00
311.72000,-214.78,3.78,0.00,0.00
311.74000,-215.00,3.79,0.00,0.00
311.76000,-215.21,3.79,0.00,0.00
311.78000,-215.43,3.79,0.00,0.00
311.80000,-215.64,3.80,0.00,0.00
311.82000,-215.86,3.80,0.00,0.00
311.84000,-216.08,3.80,0.00,0.00
311.86000,-216.29,3.81,0.00,0.00
311.88000,-216.51,3.81,0.00,0.00
311.90000,-216.73,3.81,0.00,0.00
311.92000,-216.94,3.81,0.00,0.00
311.94000,-217.16,3.82,0.00,0.00
311.96000,-217.38,3.82,0.00,0.00
311.98000,-217.60,3.82,0.00,0.00
312.00000,-217.82,3.83,0.00,0.00
312.02000,-218.04,3.83,0.00,0.00
312.04000,-218.26,3.83,0.00,0.00
312.06000,-218.48,3.84,0.00,0.00
312.08000,-218.70,3.84,0.00,0.00
312.10000,-218.92,3.84,0.00,0.00
312.12000,-219.14,3.85,0.00,0.00
312.14000,-219.36,3.85,0.00,0.00
312.16000,-219.58,3.85,0.00,0.00
312.18000,-219.80,3.86,0.00,0.00
312.20000,-220.03,3.86,0.00,0.00
312.22000,-220.25,3.86,0.00,0.00
312.24000,-220.47,3.87,0.00,0.00
312.26000,-220.69,3.87,0.00,0.00
312.28000,-220.92,3.87,0.00,0.00
312.30000,-221.14,3.88,0.00,0.00
312.32000,-221.37,3.88,0.00,0.00
312.34000,-221.59,3.88,0.00,0.00
312.36000,-221.82,3.89,0.00,0.00
312.38000,-222.04,3.89,0.00,0.00
312.40000,-222.27,3.89,0.00,0.00
312.42000,-222.49,3.90,0.00,0.00
312.44000,-222.72,3.90,0.00,0.00
312.46000,-222.95,3.90,0.00,0.00
312.48000,-223.17,3.91,0.00,0.00
