Sr2,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
309.48000,-105.17,0.94,0.00,0.00
309.50000,-105.20,0.94,0.00,0.00
309.52000,-105.23,0.94,0.00,0.00
309.54000,-105.27,0.94,0.00,0.00
309.56000,-105.30,0.94,0.00,0.00
309.58000,-105.33,0.95,0.00,0.00
309.60000,-105.36,0.95,0.00,0.00
309.62000,-105.40,0.95,0.00,0.00
309.64000,-105.43,0.95,0.00,0.00
309.66000,-105.46,0.95,0.00,0.00
309.68000,-105.50,0.95,0.00,0.00
309.70000,-105.53,0.95,0.00,0.00
309.72000,-105.56,0.95,0.00,0.00
309.74000,-105.60,0.95,0.00,0.00
309.76000,-105.63,0.95,0.00,0.00
309.78000,-105.66,0.95,0.00,0.00
309.80000,-105.70,0.95,0.00,0.00
309.82000,-105.73,0.95,0.00,0.00
309.84000,-105.76,0.95,0.00,0.00
309.86000,-105.79,0.95,0.00,0.00
309.88000,-105.83,0.95,0.00,0.00
309.90000,-105.86,0.95,0.00,0.00
309.92000,-105.89,0.95,0.00,0.00
309.94000,-105.93,0.95,0.00,0.00
309.96000,-105.96,0.95,0.00,0.00
309.98000,-105.99,0.95,0.00,0.00
310.00000,-106.03,0.95,0.00,0.00
310.02000,-106.06,0.95,0.00,0.00
310.04000,-106.09,0.95,0.00,0.00
310.06000,-106.13,0.95,0.00,0.00
310.08000,-106.16,0.95,0.00,0.00
310.10000,-106.19,0.95,0.00,0.00
310.12000,-106.23,0.95,0.00,0.00
310.14000,-106.26,0.95,0.00,0.00
310.16000,-106.29,0.95,0.00,0.00
310.18000,-106.33,0.95,0.00,0.00
310.20000,-106.36,0.95,0.00,0.00
310.22000,-106.39,0.95,0.00,0.00
310.24000,-106.43,0.95,0.00,0.00
310.26000,-106.46,0.95,0.00,0.00
310.28000,-106.49,0.96,0.00,0.00
310.30000,-106.53,0.96,0.00,0.00
310.32000,-106.56,0.96,0.00,0.00
310.34000,-106.59,0.96,0.00,0.00
310.36000,-106.63,0.96,0.00,0.00
310.38000,-106.66,0.96,0.00,0.00
310.40000,-106.70,0.96,0.00,0.00
310.42000,-106.73,0.96,0.00,0.00
310.44000,-106.76,0.96,0.00,0.00
310.46000,-106.80,0.96,0.00,0.00
310.48000,-106.83,0.96,0.00,0.00
310.50000,-106.86,0.96,0.00,0.00
310.52000,-106.90,0.96,0.00,0.00
310.54000,-106.93,0.96,0.00,0.00
310.56000,-106.96,0.96,0.00,0.00
310.58000,-107.00,0.96,0.00,0.00
310.60000,-107.03,0.96,0.00,0.00
310.62000,-107.06,0.96,0.00,0.00
310.64000,-107.10,0.96,0.00,0.00
310.66000,-107.13,0.96,0.00,0.00
310.68000,-107.17,0.96,0.00,0.00
310.70000,-107.20,0.96,0.00,0.00
