wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty,alpha(m=2),alpha(m=2)_uncertainty
470.63,604.39,61.37,2428.45,110.03,-122.88,20.79,727.28,79.53,665.84,70.59,481.51,45.51
470.66,593.34,60.78,2414.77,109.05,-118.82,20.67,712.16,78.8,652.75,69.92,474.53,45.09
470.69,582.46,60.2,2401.64,108.1,-114.79,20.55,697.25,78.08,639.86,69.28,467.67,44.69
470.72,571.74,59.64,2389,107.19,-110.8,20.44,682.55,77.38,627.15,68.65,460.94,44.29
470.75,561.18,59.09,2376.8,106.3,-106.85,20.34,668.03,76.7,614.61,68.03,454.32,43.91
470.78,550.76,58.55,2365.02,105.43,-102.94,20.24,653.69,76.04,602.22,67.43,447.82,43.53
470.81,540.46,58.03,2353.62,104.59,-99.06,20.14,639.52,75.39,589.99,66.85,441.41,43.16
470.84,530.29,57.52,2342.59,103.78,-95.2,20.04,625.49,74.76,577.89,66.28,435.09,42.8
470.87,520.23,57.02,2331.9,102.99,-91.37,19.96,611.6,74.14,565.91,65.72,428.85,42.45
470.9,510.25,56.53,2321.53,102.22,-87.57,19.87,597.83,73.55,554.04,65.18,422.68,42.11
470.93,500.35,56.06,2311.45,101.47,-83.79,19.79,584.15,72.96,542.25,64.65,416.56,41.77
470.96,490.51,55.59,2301.63,100.74,-80.03,19.71,570.54,72.39,530.53,64.13,410.48,41.44
470.99,480.7,55.14,2292.03,100.04,-76.28,19.63,556.98,71.84,518.84,63.63,404.41,41.12
471.02,470.88,54.7,2282.62,99.36,-72.55,19.56,543.43,71.3,507.15,63.13,398.33,40.81
471.05,461.02,54.26,2273.32,98.69,-68.82,19.5,529.83,70.77,495.43,62.65,392.2,40.5
471.08,451.05,53.84,2264.07,98.05,-65.08,19.43,516.13,70.26,483.59,62.19,385.97,40.2
471.11,440.88,53.43,2254.73,97.43,-61.33,19.37,502.22,69.76,471.55,61.73,379.55,39.9
471.14,430.39,53.02,2245.11,96.83,-57.56,19.32,487.94,69.28,459.16,61.29,372.83,39.62
