wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
487.54,40666.07,1015.39,89874.22,1523.47,-11606.89,152.39,63879.86,1188.46,29059.18,953.92
487.55,37014.29,959.95,86182.31,1440.37,-11594.76,153.14,60203.81,1116.59,25419.53,910.61
487.56,33647.79,912.19,83111.52,1368.77,-11649.81,155.26,56947.41,1052.95,21997.97,875.26
487.57,30498.69,871.17,80593.43,1307.3,-11771.94,158.73,54042.57,996.2,18726.75,847.23
487.58,27508.06,836.27,78581.15,1254.99,-11963.56,163.61,51435.18,945.29,15544.5,826.16
487.59,24622.13,807.08,77046.43,1211.24,-12229.77,169.98,49081.67,899.35,12392.37,811.98
487.6,21789.07,783.43,75978.44,1175.81,-12578.77,178,46946.61,857.7,9210.3,804.91
487.61,18955.58,765.41,75384.26,1148.82,-13022.64,187.91,45000.85,819.76,5932.95,805.43
487.62,16063.15,753.38,75291.22,1130.8,-13578.54,200.05,43220.23,785.05,2484.61,814.43
487.63,13043.03,748.04,75751.88,1122.82,-14270.74,214.9,41584.5,753.19,-1227.71,833.22
487.64,9809.09,750.58,76852.77,1126.63,-15133.76,233.14,40076.62,723.83,-5324.67,863.8
487.65,6246.65,762.85,78729.77,1145.05,-16217.73,255.77,38682.11,696.7,-9971.08,909.1
487.66,2193.68,787.78,81594.97,1182.44,-17597.46,284.28,37388.6,671.54,-15403.78,973.58
487.67,-2592.82,830.01,85786.28,1245.76,-19389.14,320.99,36185.45,648.16,-21981.96,1064.15
487.68,-8501.81,897.18,91864.16,1346.48,-21782.65,369.68,35063.48,626.36,-30284.46,1192.15
487.69,-16205.6,1002.69,100817.11,1504.69,-25110.14,436.98,34014.69,606,-41315.74,1377.43
487.7,-26985.82,1172.15,114550.18,1758.81,-30008.97,535.61,33032.12,586.94,-56994.79,1658.09
487.71,-43640.63,1461.48,137245.3,2192.73,-37875.14,693.41,32109.65,569.06,-81515.78,2117.65
487.72,-73694.24,2020.9,180175.31,3031.77,-52468.07,985.39,31241.9,552.24,-126162.31,2981.03
487.73,-146727.97,3440.66,287700.33,5161.29,-88576.04,1706.57,30424.11,536.41,-235304.01,5133.27
487.74,-617663.22,12801.51,992191.88,19202.45,-323657.64,6397.27,29652.06,521.47,-941320.86,19195.24
487.75,389532.81,7323.66,-520408.64,10985.42,180305.42,3656.08,28921.98,507.35,569838.23,10973.88
