wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
411.06,-414,3.15,0,0,0,0
411.08,-417.06,3.15,0,0,0,0
411.1,-420.17,3.15,0,0,0,0
411.12,-423.34,3.15,0,0,0,0
411.14,-426.56,3.15,0,0,0,0
411.16,-429.83,3.15,0,0,0,0
411.18,-433.17,3.15,0,0,0,0
411.2,-436.56,3.15,0,0,0,0
411.22,-440.02,3.14,0,0,0,0
411.24,-443.54,3.14,0,0,0,0
411.26,-447.13,3.14,0,0,0,0
411.28,-450.78,3.14,0,0,0,0
411.3,-454.51,3.14,0,0,0,0
411.32,-458.3,3.14,0,0,0,0
411.34,-462.17,3.14,0,0,0,0
411.36,-466.11,3.14,0,0,0,0
411.38,-470.14,3.14,0,0,0,0
411.4,-474.24,3.14,0,0,0,0
411.42,-478.42,3.14,0,0,0,0
411.44,-482.69,3.13,0,0,0,0
411.46,-487.05,3.13,0,0,0,0
411.48,-491.5,3.13,0,0,0,0
411.5,-496.04,3.13,0,0,0,0
411.52,-500.68,3.13,0,0,0,0
411.54,-505.42,3.13,0,0,0,0
411.56,-510.26,3.13,0,0,0,0
411.58,-515.21,3.13,0,0,0,0
411.6,-520.27,3.13,0,0,0,0
411.62,-525.44,3.13,0,0,0,0
411.64,-530.73,3.13,0,0,0,0
411.66,-536.15,3.13,0,0,0,0
411.68,-541.69,3.13,0,0,0,0
411.7,-547.36,3.13,0,0,0,0
411.72,-553.17,3.13,0,0,0,0
411.74,-559.12,3.13,0,0,0,0
411.76,-565.21,3.12,0,0,0,0
411.78,-571.46,3.12,0,0,0,0
411.8,-577.86,3.12,0,0,0,0
411.82,-584.43,3.12,0,0,0,0
411.84,-591.17,3.12,0,0,0,0
411.86,-598.08,3.12,0,0,0,0
411.88,-605.18,3.12,0,0,0,0
411.9,-612.47,3.12,0,0,0,0
411.92,-619.96,3.12,0,0,0,0
411.94,-627.66,3.12,0,0,0,0
411.96,-635.58,3.12,0,0,0,0
411.98,-643.72,3.12,0,0,0,0
412,-652.1,3.12,0,0,0,0
412.02,-660.72,3.12,0,0,0,0
412.04,-669.6,3.12,0,0,0,0
412.06,-678.75,3.12,0,0,0,0
412.08,-688.19,3.12,0,0,0,0
412.1,-697.92,3.13,0,0,0,0
412.12,-707.96,3.13,0,0,0,0
412.14,-718.32,3.13,0,0,0,0
412.16,-729.03,3.13,0,0,0,0
412.18,-740.09,3.13,0,0,0,0
412.2,-751.54,3.13,0,0,0,0
412.22,-763.37,3.13,0,0,0,0
412.24,-775.63,3.13,0,0,0,0
412.26,-788.33,3.13,0,0,0,0
412.28,-801.49,3.14,0,0,0,0
412.3,-815.14,3.14,0,0,0,0
412.32,-829.31,3.14,0,0,0,0
412.34,-844.03,3.14,0,0,0,0
