Li1,2s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
407.34000,-91.67,0.21,0.00,0.00
407.36000,-91.68,0.21,0.00,0.00
407.38000,-91.70,0.21,0.00,0.00
407.40000,-91.71,0.21,0.00,0.00
407.42000,-91.73,0.21,0.00,0.00
407.44000,-91.74,0.21,0.00,0.00
407.46000,-91.76,0.21,0.00,0.00
407.48000,-91.77,0.21,0.00,0.00
407.50000,-91.79,0.21,0.00,0.00
407.52000,-91.80,0.21,0.00,0.00
407.54000,-91.82,0.21,0.00,0.00
407.56000,-91.83,0.21,0.00,0.00
407.58000,-91.85,0.21,0.00,0.00
407.60000,-91.86,0.21,0.00,0.00
407.62000,-91.88,0.21,0.00,0.00
407.64000,-91.89,0.21,0.00,0.00
407.66000,-91.91,0.21,0.00,0.00
407.68000,-91.92,0.21,0.00,0.00
407.70000,-91.94,0.21,0.00,0.00
407.72000,-91.95,0.21,0.00,0.00
407.74000,-91.97,0.21,0.00,0.00
407.76000,-91.98,0.21,0.00,0.00
407.78000,-92.00,0.21,0.00,0.00
407.80000,-92.01,0.21,0.00,0.00
407.82000,-92.03,0.21,0.00,0.00
407.84000,-92.04,0.21,0.00,0.00
407.86000,-92.06,0.21,0.00,0.00
407.88000,-92.07,0.21,0.00,0.00
407.90000,-92.09,0.21,0.00,0.00
407.92000,-92.10,0.21,0.00,0.00
407.94000,-92.12,0.21,0.00,0.00
407.96000,-92.13,0.21,0.00,0.00
407.98000,-92.15,0.21,0.00,0.00
408.00000,-92.16,0.21,0.00,0.00
408.02000,-92.18,0.21,0.00,0.00
408.04000,-92.19,0.21,0.00,0.00
408.06000,-92.21,0.21,0.00,0.00
408.08000,-92.22,0.21,0.00,0.00
408.10000,-92.24,0.21,0.00,0.00
408.12000,-92.25,0.21,0.00,0.00
408.14000,-92.27,0.21,0.00,0.00
408.16000,-92.28,0.21,0.00,0.00
408.18000,-92.30,0.21,0.00,0.00
408.20000,-92.31,0.21,0.00,0.00
408.22000,-92.33,0.21,0.00,0.00
408.24000,-92.34,0.21,0.00,0.00
408.26000,-92.36,0.21,0.00,0.00
408.28000,-92.37,0.21,0.00,0.00
408.30000,-92.39,0.21,0.00,0.00
408.32000,-92.40,0.21,0.00,0.00
408.34000,-92.42,0.21,0.00,0.00
408.36000,-92.43,0.21,0.00,0.00
408.38000,-92.45,0.21,0.00,0.00
408.40000,-92.46,0.21,0.00,0.00
408.42000,-92.48,0.21,0.00,0.00
408.44000,-92.49,0.21,0.00,0.00
408.46000,-92.51,0.21,0.00,0.00
408.48000,-92.52,0.21,0.00,0.00
408.50000,-92.54,0.21,0.00,0.00
408.52000,-92.55,0.21,0.00,0.00
408.54000,-92.57,0.21,0.00,0.00
408.56000,-92.58,0.21,0.00,0.00
408.58000,-92.60,0.21,0.00,0.00
408.60000,-92.61,0.21,0.00,0.00
408.62000,-92.63,0.21,0.00,0.00
408.64000,-92.64,0.21,0.00,0.00
408.66000,-92.66,0.21,0.00,0.00
408.68000,-92.67,0.21,0.00,0.00
408.70000,-92.69,0.21,0.00,0.00
408.72000,-92.70,0.21,0.00,0.00
408.74000,-92.72,0.21,0.00,0.00
408.76000,-92.73,0.21,0.00,0.00
408.78000,-92.75,0.21,0.00,0.00
408.80000,-92.76,0.21,0.00,0.00
408.82000,-92.78,0.21,0.00,0.00
408.84000,-92.79,0.21,0.00,0.00
408.86000,-92.81,0.21,0.00,0.00
408.88000,-92.82,0.21,0.00,0.00
408.90000,-92.84,0.21,0.00,0.00
408.92000,-92.85,0.21,0.00,0.00
408.94000,-92.87,0.21,0.00,0.00
408.96000,-92.88,0.21,0.00,0.00
408.98000,-92.90,0.21,0.00,0.00
409.00000,-92.91,0.21,0.00,0.00
409.02000,-92.93,0.21,0.00,0.00
409.04000,-92.94,0.21,0.00,0.00
409.06000,-92.96,0.21,0.00,0.00
409.08000,-92.97,0.21,0.00,0.00
409.10000,-92.99,0.21,0.00,0.00
409.12000,-93.00,0.21,0.00,0.00
409.14000,-93.02,0.21,0.00,0.00
409.16000,-93.03,0.21,0.00,0.00
409.18000,-93.05,0.21,0.00,0.00
409.20000,-93.06,0.21,0.00,0.00
409.22000,-93.08,0.21,0.00,0.00
409.24000,-93.09,0.21,0.00,0.00
409.26000,-93.11,0.21,0.00,0.00
409.28000,-93.12,0.21,0.00,0.00
409.30000,-93.14,0.21,0.00,0.00
409.32000,-93.15,0.21,0.00,0.00
409.34000,-93.17,0.21,0.00,0.00
409.36000,-93.18,0.21,0.00,0.00
409.38000,-93.20,0.21,0.00,0.00
409.40000,-93.21,0.21,0.00,0.00
409.42000,-93.23,0.21,0.00,0.00
409.44000,-93.24,0.21,0.00,0.00
409.46000,-93.26,0.21,0.00,0.00
409.48000,-93.28,0.21,0.00,0.00
